country,forecast_date,predicted_tws,step
DZA,2025-09-01,4.3056555,2
DZA,2025-10-01,4.6430035,3
DZA,2025-11-01,4.1202154,4
DZA,2025-12-01,3.3055215,5
DZA,2026-01-01,3.0804985,6
ECU,2025-08-01,2.89071,1
ECU,2025-09-01,2.6733253,2
ECU,2025-10-01,3.0589986,3
ECU,2025-11-01,3.0044634,4
ECU,2025-12-01,2.3739424,5
ECU,2026-01-01,2.1960492,6
EGY,2025-08-01,4.688507,1
EGY,2025-09-01,5.320836,2
EGY,2025-10-01,6.3206487,3
EGY,2025-11-01,6.1672535,4
EGY,2025-12-01,4.6029525,5
EGY,2026-01-01,4.126516,6
ERI,2025-08-01,2.0816545,1
ERI,2025-09-01,4.5615425,2
ERI,2025-10-01,5.7126565,3
ERI,2025-11-01,4.110869,4
ERI,2025-12-01,2.9851623,5
ERI,2026-01-01,2.9916244,6
ESP,2025-08-01,2.9808936,1
ESP,2025-09-01,3.4224687,2
ESP,2025-10-01,3.4711874,3
ESP,2025-11-01,3.3492498,4
ESP,2025-12-01,2.7770534,5
ESP,2026-01-01,2.5759797,6
EST,2025-08-01,4.577914,1
EST,2025-09-01,4.004124,2
EST,2025-10-01,2.9395053,3
EST,2025-11-01,3.0804057,4
EST,2025-12-01,2.8993468,5
EST,2026-01-01,2.787012,6
ETH,2025-08-01,10.41175,1
ETH,2025-09-01,9.779856,2
ETH,2025-10-01,10.778158,3
ETH,2025-11-01,12.181868,4
ETH,2025-12-01,12.325485,5
ETH,2026-01-01,12.225476,6
FIN,2025-08-01,5.9852843,1
FIN,2025-09-01,5.7178693,2
FIN,2025-10-01,4.536747,3
FIN,2025-11-01,4.453165,4
FIN,2025-12-01,4.341652,5
FIN,2026-01-01,4.128318,6
FJI,2025-08-01,5.2088566,1
FJI,2025-09-01,4.7128887,2
FJI,2025-10-01,4.6362977,3
FJI,2025-11-01,4.427402,4
FJI,2025-12-01,3.9012265,5
FJI,2026-01-01,3.4705017,6
FLK,2025-08-01,2.3620262,1
FLK,2025-09-01,4.9831996,2
FLK,2025-10-01,7.2330933,3
FLK,2025-11-01,5.141097,4
FLK,2025-12-01,3.780449,5
FLK,2026-01-01,3.813312,6
